 ,X,Y
1,337,96
2,275,96
3,81,72
4,226,413
5,320,381
6,190,272
7,336,570
8,355,90
9,306,538
10,708,363
11,240,588
12,127,389
13,118,369
14,400,545
15,327,457
16,166,488
17,304,564
18,253,472
19,274,488
20,475,496
21,297,355
22,30,205
23,261,547
24,596,249
25,59,426
26,83,378
27,47,245
28,421,253
29,335,540
30,58,510
31,206,390
32,152,444
33,240,416
34,195,393
35,187,157
36,339,732
37,181,379
38,194,204
39,195,512
40,79,467
41,448,413
42,171,318
43,310,331
44,406,735
45,148,400
46,102,345
47,130,211
48,389,770
49,329,531
50,86,464
51,281,364
52,39,242
53,206,355
54,170,177
55,550,498
56,197,293
57,124,267
58,6,596
59,506,539
60,390,252
61,288,773
62,249,685
63,317,572
64,165,493
65,363,241
66,206,103
67,408,590
68,285,567
69,71,501
70,160,496
71,138,370
72,365,146
73,371,117
74,329,496
75,230,460
76,208,437
77,523,396
78,241,219
79,250,133
80,72,605
81,767,673
82,150,613
83,439,606
84,210,265
85,347,96
86,227,717
87,156,375
88,73,320
89,70,200
90,463,532
91,50,504
92,572,371
93,294,298
94,390,289
95,208,285
96,16,245
97,174,198
98,173,463
99,0,428
100,409,232
101,289,221
102,78,166
103,220,71
104,411,617
105,386,523
106,234,382
107,136,285
108,327,629
109,41,526
110,287,514
111,21,511
112,114,466
113,127,421
114,38,366
115,189,309
116,345,281
117,328,673
118,314,489
119,503,487
120,324,486
121,268,450
122,303,412
123,217,380
124,181,269
125,253,197
126,411,127
127,232,566
128,313,456
129,33,456
130,313,435
131,462,396
132,243,396
133,32,338
134,428,601
135,56,332
136,203,318
137,41,246
138,482,61
139,242,730
140,105,630
141,217,545
142,31,374
143,110,255
144,366,212
145,276,181
146,82,665
147,238,647
148,453,639
149,176,565
150,426,508
151,71,436
152,272,368
153,227,354
154,257,248
155,273,238
156,182,192
157,251,698
158,351,580
159,19,562
160,185,551
161,177,534
162,161,514
163,85,427
164,233,377
165,479,323
166,101,253
167,266,204
168,44,183
169,17,183
170,337,23
171,94,686
172,126,514
173,65,460
174,158,404
175,298,324
176,268,315
177,403,294
178,228,257
179,84,242
180,309,162
181,241,47
182,139,25
183,251,714
184,257,611
185,531,598
186,425,551
187,60,531
188,361,527
189,524,460
190,613,342
191,505,324
192,8,304
193,294,263
194,308,182
195,264,702
196,352,575
197,308,557
198,472,534
199,100,518
200,237,493
201,113,473
202,215,396
203,101,385
204,4,369
205,75,310
206,148,302
207,121,295
208,477,239
209,421,197
210,194,173
211,229,101
212,275,696
213,688,630
214,271,623
215,390,592
216,245,524
217,58,517
218,520,450
219,415,420
220,205,330
221,114,257
222,152,229
223,640,777
224,58,717
225,202,665
226,509,639
227,476,618
228,295,490
229,621,485
230,148,485
231,193,419
232,544,370
233,166,356
234,357,305
235,307,291
236,479,281
237,229,221
238,170,202
239,128,191
240,168,139
241,187,91
242,244,747
243,293,695
244,282,663
245,185,571
246,240,563
