time	cluster	x0	y0	major	minor	Area	SumIntensity	RawIntensity	MeanIntensity	NumPuncta
0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1	0	2.198	0.297	0.561	0.353	0.156	1.140	1267.000	7.324	0.002
1	1	1.452	0.313	0.385	0.167	0.050	0.319	355.000	6.339	9.000E-4
1	2	0.717	0.853	1.493	0.299	0.351	2.866	3185.000	8.167	0.004
1	3	2.701	0.844	0.416	0.218	0.071	0.483	537.000	6.797	9.000E-4
1	4	2.210	0.861	0.274	0.201	0.043	0.330	367.000	7.646	9.000E-4
1	5	1.685	1.673	1.496	1.062	1.248	16.215	18017.000	12.990	0.006
1	6	0.303	1.635	0.685	0.418	0.225	2.264	2515.000	10.060	0.002
1	7	0.118	2.238	0.232	0.133	0.024	0.156	173.000	6.407	9.000E-4
1	8	0.660	2.280	0.197	0.128	0.020	0.110	122.000	5.545	0.000
1	9	1.139	2.875	0.585	0.302	0.139	1.294	1438.000	9.338	9.000E-4
1	10	2.716	2.872	0.295	0.225	0.052	0.392	436.000	7.517	9.000E-4
2	0	2.158	0.294	0.597	0.313	0.147	1.086	1207.000	7.405	0.002
2	1	1.454	0.327	0.410	0.215	0.069	0.465	517.000	6.714	9.000E-4
2	2	0.746	0.839	1.457	0.295	0.337	2.635	2928.000	7.808	0.003
2	3	2.748	0.815	0.376	0.213	0.063	0.445	494.000	7.057	9.000E-4
2	4	2.170	0.865	0.324	0.205	0.052	0.425	472.000	8.138	9.000E-4
2	5	1.629	1.617	1.496	0.946	1.111	14.770	16411.000	13.288	0.006
2	6	0.339	1.641	0.728	0.376	0.215	2.095	2328.000	9.741	0.002
2	7	1.762	2.277	0.422	0.399	0.132	0.920	1022.000	6.952	0.002
2	8	0.105	2.190	0.203	0.102	0.016	0.095	106.000	5.889	9.000E-4
2	9	0.679	2.240	0.264	0.156	0.032	0.208	231.000	6.417	0.000
2	10	1.136	2.878	0.572	0.294	0.132	1.176	1307.000	8.891	9.000E-4
2	11	2.697	2.897	0.259	0.195	0.040	0.307	341.000	7.750	9.000E-4
3	0	2.155	0.303	0.596	0.329	0.154	1.102	1224.000	7.158	0.002
3	1	1.473	0.324	0.416	0.223	0.073	0.526	584.000	7.210	9.000E-4
3	2	0.718	0.836	1.457	0.271	0.310	2.366	2629.000	7.642	0.003
3	3	2.779	0.838	0.323	0.170	0.043	0.305	339.000	7.062	9.000E-4
3	4	2.220	0.840	0.262	0.131	0.027	0.174	193.000	6.433	9.000E-4
3	5	1.629	1.707	1.577	1.054	1.305	16.076	17862.000	12.319	0.009
3	6	0.350	1.612	0.517	0.384	0.156	1.450	1611.000	9.312	9.000E-4
3	7	0.045	1.605	0.372	0.102	0.030	0.263	292.000	8.848	9.000E-4
3	8	1.132	2.892	0.633	0.264	0.131	1.153	1281.000	8.774	9.000E-4
3	9	2.724	2.885	0.275	0.204	0.044	0.312	347.000	7.082	0.002
4	0	2.220	0.289	0.446	0.355	0.124	0.823	915.000	6.630	9.000E-4
4	1	1.466	0.344	0.428	0.228	0.076	0.528	587.000	6.906	9.000E-4
4	2	0.731	0.841	1.499	0.277	0.326	2.552	2836.000	7.834	0.003
4	3	2.703	0.827	0.434	0.201	0.068	0.417	463.000	6.092	9.000E-4
4	4	2.206	0.852	0.358	0.173	0.049	0.345	383.000	7.093	9.000E-4
4	5	1.665	1.608	1.437	0.964	1.088	14.337	15930.000	13.176	0.008
4	6	0.313	1.608	0.690	0.374	0.202	2.000	2222.000	9.876	0.003
4	7	0.705	1.805	0.160	0.129	0.016	0.106	118.000	6.556	0.000
4	8	1.804	2.262	0.454	0.348	0.124	0.957	1063.000	7.703	9.000E-4
4	9	1.140	2.900	0.540	0.240	0.102	0.886	985.000	8.717	9.000E-4
4	10	2.673	2.895	0.253	0.208	0.041	0.259	288.000	6.261	9.000E-4
5	0	2.565	0.045	0.237	0.102	0.019	0.138	153.000	7.286	9.000E-4
5	1	2.204	0.277	0.469	0.301	0.111	0.824	916.000	7.447	9.000E-4
5	2	1.468	0.361	0.383	0.263	0.079	0.544	604.000	6.864	0.003
5	3	1.193	0.713	0.588	0.236	0.109	0.765	850.000	7.025	9.000E-4
5	4	2.147	0.880	0.355	0.158	0.044	0.298	331.000	6.755	9.000E-4
5	5	2.797	0.832	0.269	0.153	0.032	0.203	226.000	6.278	9.000E-4
5	6	0.392	0.930	0.799	0.296	0.185	1.507	1674.000	8.126	0.004
5	7	1.684	1.669	1.431	1.070	1.202	15.600	17333.000	12.974	0.013
5	8	2.772	1.442	0.166	0.131	0.017	0.103	114.000	6.000	9.000E-4
5	9	0.300	1.611	0.676	0.369	0.196	1.887	2097.000	9.619	0.002
5	10	0.690	1.804	0.193	0.130	0.020	0.121	134.000	6.091	9.000E-4
5	11	0.652	2.272	0.177	0.142	0.020	0.128	142.000	6.455	9.000E-4
5	12	1.117	2.888	0.586	0.264	0.121	1.020	1133.000	8.393	9.000E-4
5	13	2.685	2.893	0.252	0.223	0.044	0.309	343.000	7.000	9.000E-4
6	0	2.225	0.302	0.381	0.349	0.104	0.779	866.000	7.466	9.000E-4
6	1	1.450	0.350	0.548	0.209	0.090	0.636	707.000	7.070	9.000E-4
6	2	0.707	0.852	1.475	0.280	0.324	2.511	2790.000	7.750	0.004
6	3	2.492	0.796	0.257	0.147	0.030	0.202	225.000	6.818	9.000E-4
6	4	2.206	0.857	0.287	0.144	0.032	0.244	271.000	7.528	9.000E-4
6	5	2.883	0.872	0.199	0.132	0.021	0.171	190.000	8.261	9.000E-4
6	6	1.672	1.682	1.462	1.072	1.231	15.186	16873.000	12.334	0.007
6	7	0.343	1.645	0.776	0.366	0.223	1.970	2189.000	8.827	0.002
6	8	2.696	2.845	0.405	0.209	0.067	0.457	508.000	6.865	9.000E-4
6	9	1.107	2.889	0.531	0.274	0.114	0.940	1045.000	8.228	0.002
