time	cluster	x0	y0	major	minor	Area	SumIntensity	RawIntensity	MeanIntensity	NumPuncta
0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1	0	1.746	1.189	1.519	0.481	0.573	5.403	6003.000	9.424	0.005
1	1	0.501	1.338	0.469	0.264	0.097	0.668	742.000	6.870	0.003
1	2	0.234	1.786	0.549	0.207	0.089	0.677	752.000	7.596	0.002
2	0	1.614	1.191	1.113	0.510	0.446	4.436	4929.000	9.938	0.004
2	1	2.390	1.294	0.407	0.341	0.109	0.759	843.000	6.967	0.004
2	2	0.548	1.342	0.368	0.268	0.077	0.532	591.000	6.872	0.002
2	3	0.223	1.793	0.497	0.194	0.076	0.610	678.000	8.071	9.000E-4
3	0	1.600	1.199	1.178	0.493	0.456	4.482	4980.000	9.822	0.003
3	1	0.562	1.336	0.394	0.273	0.085	0.602	669.000	7.117	9.000E-4
3	2	2.424	1.281	0.375	0.211	0.062	0.454	504.000	7.304	9.000E-4
3	3	0.242	1.398	0.166	0.131	0.017	0.112	124.000	6.526	0.000
3	4	0.218	1.797	0.500	0.199	0.078	0.586	651.000	7.483	0.003
4	0	1.739	1.186	1.404	0.451	0.498	4.741	5268.000	9.526	0.004
4	1	0.610	1.292	0.354	0.181	0.050	0.356	396.000	7.071	9.000E-4
4	2	0.255	1.380	0.168	0.123	0.016	0.119	132.000	7.333	9.000E-4
4	3	2.295	1.440	0.168	0.123	0.016	0.123	137.000	7.611	9.000E-4
4	4	0.237	1.786	0.560	0.209	0.092	0.729	810.000	7.941	0.003
5	0	1.743	1.193	1.374	0.441	0.476	4.483	4981.000	9.416	0.005
5	1	0.576	1.320	0.408	0.247	0.079	0.589	655.000	7.443	0.003
5	2	0.237	1.797	0.550	0.212	0.092	0.690	767.000	7.520	0.002
6	0	1.677	1.190	1.026	0.460	0.371	3.533	3926.000	9.529	0.003
6	1	0.570	1.337	0.367	0.228	0.066	0.428	476.000	6.521	9.000E-4
6	2	2.385	1.260	0.225	0.183	0.032	0.237	263.000	7.306	9.000E-4
6	3	0.247	1.791	0.554	0.182	0.079	0.565	628.000	7.136	0.002
7	0	1.620	1.180	0.996	0.470	0.367	3.601	4001.000	9.806	0.002
7	1	0.598	1.317	0.444	0.178	0.062	0.417	463.000	6.710	9.000E-4
7	2	2.357	1.273	0.220	0.156	0.027	0.196	218.000	7.267	9.000E-4
7	3	0.231	1.809	0.549	0.207	0.089	0.685	761.000	7.687	0.002
8	0	1.605	1.184	0.986	0.460	0.356	3.476	3862.000	9.753	0.003
8	1	0.592	1.332	0.321	0.236	0.059	0.433	481.000	7.288	9.000E-4
8	2	2.435	1.253	0.300	0.118	0.028	0.185	206.000	6.645	9.000E-4
8	3	0.257	1.791	0.586	0.186	0.085	0.625	695.000	7.316	0.002
9	0	1.630	1.177	1.060	0.444	0.370	3.491	3879.000	9.438	0.005
9	1	0.594	1.306	0.298	0.212	0.049	0.337	374.000	6.800	9.000E-4
9	2	2.380	1.265	0.168	0.123	0.016	0.106	118.000	6.556	9.000E-4
9	3	0.237	1.805	0.553	0.195	0.085	0.634	704.000	7.489	0.002
10	0	1.640	1.184	1.066	0.433	0.363	3.317	3685.000	9.144	0.002
10	1	0.577	1.316	0.327	0.179	0.046	0.287	319.000	6.255	9.000E-4
10	2	2.380	1.275	0.226	0.157	0.028	0.176	196.000	6.323	0.000
10	3	0.249	1.802	0.528	0.172	0.071	0.486	540.000	6.835	0.002
11	0	1.593	1.186	0.977	0.455	0.349	3.306	3673.000	9.466	0.004
11	1	2.363	1.275	0.223	0.149	0.026	0.169	188.000	6.483	9.000E-4
11	2	0.617	1.362	0.186	0.123	0.018	0.114	127.000	6.350	9.000E-4
11	3	0.240	1.800	0.544	0.190	0.081	0.627	697.000	7.744	0.002
12	0	1.612	1.183	0.908	0.440	0.314	2.968	3298.000	9.450	9.000E-4
12	1	2.136	1.198	0.193	0.125	0.019	0.122	135.000	6.429	9.000E-4
12	2	2.344	1.268	0.202	0.182	0.029	0.190	211.000	6.594	9.000E-4
12	3	0.613	1.331	0.255	0.139	0.028	0.188	209.000	6.742	9.000E-4
12	4	0.371	1.739	0.329	0.150	0.039	0.325	361.000	8.395	0.002
12	5	0.105	1.866	0.237	0.164	0.031	0.206	229.000	6.735	9.000E-4
13	0	1.555	1.185	0.985	0.421	0.326	2.844	3160.000	8.729	9.000E-4
13	1	0.613	1.332	0.255	0.139	0.028	0.170	189.000	6.097	9.000E-4
13	2	2.407	1.264	0.297	0.127	0.030	0.185	206.000	6.242	0.000
13	3	0.233	1.806	0.527	0.198	0.082	0.615	683.000	7.505	0.002
14	0	1.631	1.182	0.981	0.416	0.320	2.894	3216.000	9.034	9.000E-4
14	1	2.351	1.264	0.216	0.180	0.031	0.189	210.000	6.176	9.000E-4
14	2	0.563	1.317	0.258	0.182	0.037	0.238	264.000	6.439	0.002
14	3	0.355	1.738	0.219	0.157	0.027	0.206	229.000	7.633	9.000E-4
14	4	0.094	1.879	0.187	0.147	0.022	0.158	176.000	7.333	9.000E-4
15	0	1.631	1.182	1.054	0.446	0.369	3.174	3527.000	8.602	0.004
15	1	0.594	1.312	0.304	0.147	0.035	0.230	256.000	6.564	9.000E-4
